1,01_S1_SP01_F_L1_G2_A1,,L_C_P
,مجھے ماڈل ٹاؤن میں ایک ریسٹورنٹ کی تلاش ہے,l,
,میں فاسٹ فوڈ کھانا چاہوں گی,c,
,میں 2000 کی رینج میں کھانا کھانا چاہوں گی,p,
2,02_S7_SP01_F_L1_G2_A1,,LC_P
,مجھے ریسٹورنٹ کی تلاش ہے,g,
,میں بحریہ ٹاؤن میں کسی فاسٹ ریس- :م: فاسٹ فوڈ ریسٹورنٹ کی تلاش ہے,lc,
,میں پانچ ہزار کی رینج میں کھانا کھانا چاہوں گی,p,
3,03_S1_SP02_F_L1_G2_A1,,L_C_P
,مجھے ایم ایم عالم روڈ پہ کھانا کھانا ہے,l,
,میں چائنیز کھانا چاہتی ہوں,c,
,میں مہنگا کھانا کھانا چاہتی ہوں,p,
4,04_S5_SP02_F_L1_G2_A1,,L_P_C
,میں اچھا سا کھانا کھانا چاہتی ہوں,g,
,میں ہر بنس پورہ میں کھانا کھانا چاہتی ہوں,l,
,میں مناسب پرائس رینج میں کھانا چاہتی ہوں,p,
,مجھے چائنیز پسند ہے,c,
7,07_S9_SP03_M_L1_G2_A1,,CP_L
,میرے نزدیک مہنگا چائنیز فوڈ کہاں سے ملے گا,cp,
,اقبال ٹاؤن کے قریب قریب جگہ بتائیں,l,
